iter	Passed	Remaining
952	4127	203
953	4131	199
954	4135	194
955	4139	190
956	4144	186
957	4148	181
958	4152	177
959	4156	173
960	4162	168
961	4166	164
962	4170	160
963	4175	155
964	4180	151
965	4184	147
966	4188	142
967	4193	138
968	4199	134
969	4203	130
970	4208	125
971	4212	121
972	4216	117
973	4220	112
974	4225	108
975	4230	104
976	4234	99
977	4239	95
978	4243	91
979	4248	86
980	4252	82
981	4257	78
982	4261	73
983	4266	69
984	4270	65
985	4275	60
986	4279	56
987	4283	52
988	4287	47
989	4291	43
990	4296	39
991	4300	34
992	4304	30
993	4309	26
994	4313	21
995	4317	17
996	4322	13
997	4326	8
998	4330	4
999	4334	0
